"ID","azimuth(degrees)","elevation(degrees)","radial diastance(km)"
"a0006517","105.5190173","-3.911348708","419430791.5"
"a0006523","125.9527242","-15.27772105","369154258.0"
"a0006564","165.9014157","33.28111803","211681785.1"
"a0006569","109.221","-6.745867619","336211798.5"
"a0006585","10.88541436","-36.12450997","167376733.6"
"a0006602","349.5542374","-10.37232329","154830510.8"
"a0006611","149.7228307","35.13293541","118443443.5"
"a0006618","343.4164004","-0.530352749","152814460.7"
"a0006635","249.8928164","-25.44711387","134107274.4"
"a0006646","336.533799","-4.651983795","136096085.2"
"a0006847","335.9797879","17.39886565","119886142.1"
"a0006859","99.63961783","-6.289719142","412990535.3"
"a0006870","97.47143391","-86.69390565","244199246.4"
"a0006874","108.5127494","-21.69504783","382548728.2"
"a0006901","10.25227626","-38.88432986","206757549.3"
"a0006909","49.94135373","-28.10812242","249500536.7"
"a0006911","54.43196191","-56.67346698","291817596.9"
"a0007002","90.4553937","-38.14994423","342710043.1"
"a0007025","200.6652382","19.87707985","28269546.67"
"a0007079","95.51629914","-31.30053518","364730128.6"
"a0007086","53.08279348","-58.90757316","284486321.7"
"a0007087","222.7880049","30.04293081","166876774.1"
"a0007088","299.7564763","-17.07934447","37082673.52"
"a0007092","113.9477631","40.17508429","116661225.6"
"a0007096","39.53900285","-76.0506287","183711040.7"
"a0007173","74.92728864","-33.32316257","383952023.6"
"a0007187","22.20788497","-39.98232291","239218955.8"
"a0007236","112.9215326","-13.14338449","325790047.8"
"a0007247","55.01891034","-66.80217322","267285309.7"
"a0007267","319.1153481","76.85577116","136488341.5"
"a0007304","121.2289157","25.22338216","327422910.8"
"a0007330","264.3680154","-44.90974635","135966951.3"
"a0007335","114.2005254","-16.21265538","281249525.2"
"a0007336","87.24737338","-44.74293286","262641347.4"
"a0007341","128.0731925","34.700263","17205949.14"
"a0007345","88.26938706","-48.0279142","334857248.5"
"a0007350","135.8874921","12.61903732","29462592.7"
"a0007358","84.62374586","-41.97619294","247232474.5"
"a0007369","35.01536747","-43.51117037","238318573.9"
"a0007445","91.51317555","-38.83846896","356399397.4"
"a0007467","314.2898269","38.76591269","79038894.39"
"a0007474","90.51504961","-49.81568712","237483693.7"
"a0007480","85.73061983","-57.6292346","201846373.0"
"a0007482","108.7647404","46.02285286","142635590.0"
"a0007488","121.0632616","53.69464336","310390963.0"
"a0007505","70.88163253","-62.41664291","281133260.2"
"a0007560","43.75867995","-46.70050693","280264115.1"
"a0007579","199.6597959","57.94477069","215879534.0"
"a0007604","46.86238213","-89.85808268","160051244.5"
"a0007660","262.8840746","-56.17533993","152416549.0"
"a0007723","66.93486323","-64.00333659","269153536.3"
"a0007747","98.44817297","-28.28904537","379027992.6"
"a0007753","96.77701932","-36.8722663","213757947.1"
"a0007778","86.88034271","-23.82700869","360681524.3"
"a0007781","103.7748251","-33.39839326","398985502.9"
"a0007783","296.3691272","29.4888423","124264890.4"
"a0007816","34.9347214","-63.55715081","236430544.7"
"a0007818","285.1295766","-82.71858223","180382278.2"
"a0007822","131.8030646","-62.02956877","158016637.6"
